event_id,vendor,plant_id,generated_at,machine_id,line,event_time,ingestion_time,event_type,severity,vibration_mm_s,temperature_c,machine_status,sensor_health,confidence,operating_hours_today,firmware_version,gateway_id
MP-1000,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-007,LINE-C,2026-03-01T06:49:47Z,2026-03-01T07:19:47Z,NORMAL_READING,low,3.42,65.29,running,0.8,0.65,8.29,MP-FW-2.9,GW-C1
MP-1001,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-003,LINE-B,2026-03-07T16:54:17Z,2026-03-07T17:00:17Z,NORMAL_READING,low,3.44,58.47,running,0.86,0.89,0.69,MP-FW-3.2,GW-A1
MP-1002,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-012,LINE-B,2026-03-05T07:21:05Z,2026-03-05T07:26:05Z,NORMAL_READING,low,4.13,54.69,running,0.77,0.77,5.32,MP-FW-3.2,GW-A2
MP-1003,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-005,LINE-A,2026-03-03T09:12:42Z,2026-03-03T09:15:42Z,NORMAL_READING,low,2.9,53.31,running,0.84,0.8,3.86,MP-FW-3.1,GW-A2
MP-1004,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-009,LINE-A,2026-03-10T03:49:20Z,2026-03-10T03:56:20Z,NORMAL_READING,low,3.32,66.1,idle,0.93,0.78,6.29,MP-FW-2.9,GW-C1
MP-1005,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-010,LINE-C,2026-03-05T13:03:23Z,2026-03-06T01:03:23Z,NORMAL_READING,low,4.0,61.94,running,0.9,0.86,5.49,MP-FW-3.2,GW-A1
MP-1006,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-008,LINE-B,2026-03-02T07:16:43Z,2026-03-02T07:21:43Z,NORMAL_READING,low,3.52,56.57,running,0.8,0.88,9.71,MP-FW-2.9,GW-A2
MP-1007,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-002,LINE-A,2026-03-09T16:12:10Z,2026-03-09T16:17:10Z,NORMAL_READING,low,2.36,57.95,running,1.0,0.75,9.42,MP-FW-2.9,GW-A2
MP-1008,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-002,LINE-A,2026-03-06T09:47:35Z,2026-03-06T09:51:35Z,NORMAL_READING,low,3.19,74.12,running,1.0,0.79,5.3,MP-FW-3.1,GW-A2
MP-1009,MechaPulse,PLANT_01,2026-03-11T00:05:00Z,MCH-001,LINE-A,2026-03-01T05:44:37Z,2026-03-01T05:50:37Z,NORMAL_READING,low,3.29,61.62,idle,0.84,0.79,10.77,MP-FW-2.9,GW-C1
