record_id,provider_name,factory_id,machine_ref,line_id,recorded_at,record_type,inspection_result,maintenance_status,days_since_last_service,technician_note,manual_confidence,reported_by,repair_action,estimated_downtime_min
MLX-500,MaintaLogix,PLANT_01,MCH-002,LINE-A,2026/03/07 20:06:25,inspection,minor_defect_found,overdue,69,Stop and service required,high,shift_lead,,30
MLX-501,MaintaLogix,PLANT_01,MCH-011,D,2026/03/01 05:57:13,inspection,pass,overdue,115,Routine inspection completed,high,tech_02,,0
MLX-502,MaintaLogix,PLANT_01,MCH-004,LINE-B,2026/03/03 13:59:44,inspection,requires_attention,due_soon,47,Technician review recommended,medium,operator_b,,0
MLX-503,MaintaLogix,PLANT_01,MCH-012,B,2026/03/05 08:40:21,inspection,minor_defect_found,due_soon,60,Wear observed; monitor next shift,medium,shift_lead,,0
MLX-504,MaintaLogix,PLANT_01,MCH-001,LINE-A,2026/03/07 04:20:28,inspection,pass,overdue,22,Routine inspection completed,high,operator_b,,0
MLX-505,MaintaLogix,PLANT_01,MCH-007,LINE-C,2026/03/10 15:33:52,inspection,pass,overdue,46,Routine inspection completed,high,operator_a,,30
MLX-506,MaintaLogix,PLANT_01,MCH-010,LINE-C,2026/03/06 10:16:57,inspection,pass,overdue,43,Routine inspection completed,low,tech_01,,30
MLX-507,MaintaLogix,PLANT_01,MCH-003,LINE-B,2026/03/10 17:06:26,inspection,minor_defect_found,due_soon,31,Wear observed; monitor next shift,low,tech_01,,15
MLX-508,MaintaLogix,PLANT_01,MCH-005,LINE-A,2026/03/06 14:29:13,inspection,minor_defect_found,overdue,7,Wear observed; monitor next shift,high,operator_b,,15
MLX-509,MaintaLogix,PLANT_01,MCH-012,LINE-B,2026/03/05 04:05:53,inspection,pass,not_due,80,Routine inspection completed,medium,operator_b,,30
MLX-510,MaintaLogix,PLANT_01,MCH-011,LINE-D,2026/03/06 18:28:04,inspection,pass,not_due,28,Routine inspection completed,low,operator_b,,0
MLX-511,MaintaLogix,PLANT_01,MCH-001,LINE-A,2026/03/06 14:49:22,inspection,pass,overdue,58,Routine inspection completed,medium,operator_b,,0
MLX-512,MaintaLogix,PLANT_01,MCH-011,LINE-D,2026/03/10 03:05:53,inspection,pass,due_soon,71,Routine inspection completed,low,tech_02,,15
MLX-513,MaintaLogix,PLANT_01,MCH-005,LINE-A,2026/03/02 20:36:38,inspection,pass,due_soon,25,Routine inspection completed,medium,tech_02,,15
MLX-514,MaintaLogix,PLANT_01,MCH-008,LINE-B,2026/03/07 16:00:35,inspection,minor_defect_found,not_due,0,Wear observed; monitor next shift,high,tech_01,,0
MLX-515,MaintaLogix,PLANT_01,MCH-005,LINE-A,2026/03/04 02:21:04,inspection,requires_attention,overdue,21,Technician review recommended,high,operator_b,,0
MLX-516,MaintaLogix,PLANT_01,MCH-010,C,2026/03/03 01:00:57,inspection,requires_attention,overdue,42,Technician review recommended,high,shift_lead,,0
MLX-517,MaintaLogix,PLANT_01,MCH-003,LINE-B,2026/03/03 22:30:06,inspection,pass,not_due,16,Manual inspection passed; no heat issue observed,low,shift_lead,,15
MLX-518,MaintaLogix,PLANT_01,MCH-003,LINE-B,2026/03/09 18:45:51,inspection,pass,due_soon,40,Routine inspection completed,high,shift_lead,,15
MLX-519,MaintaLogix,PLANT_01,MCH-006,LINE-C,2026/03/02 13:01:40,inspection,pass,overdue,0,Routine inspection completed,medium,tech_01,,0
MLX-520,MaintaLogix,PLANT_01,MCH-005,A,2026/03/08 05:41:49,inspection,requires_attention,due_soon,0,Technician review recommended,medium,tech_02,,0
MLX-521,MaintaLogix,PLANT_01,MCH-012,LINE-B,2026/03/06 03:39:01,inspection,pass,not_due,83,Routine inspection completed,low,tech_02,,0
MLX-522,MaintaLogix,PLANT_01,MCH-004,LINE-B,2026/03/08 09:37:10,inspection,minor_defect_found,overdue,71,Wear observed; monitor next shift,low,operator_b,,15
MLX-523,MaintaLogix,PLANT_01,MCH-008,LINE-B,2026/03/03 19:04:11,inspection,requires_attention,overdue,79,Wear observed; monitor next shift,medium,operator_a,,15
MLX-524,MaintaLogix,PLANT_01,MCH-008,,2026/03/07 06:56:55,inspection,requires_attention,not_due,24,Technician review recommended,medium,operator_b,,0
MLX-525,MaintaLogix,PLANT_01,MCH-004,LINE-B,2026/03/02 00:48:07,inspection,minor_defect_found,overdue,61,Wear observed; monitor next shift,high,tech_01,,30
