readingId,source,site_code,response_time_epoch_ms,assetCode,productionLine,timestampMs,receivedAtEpochMs,alertCode,level,vibration_g,temperature_f,power_kw,is_active,signal_quality,vendorConfidencePct,device_fw_version,collector_id
TT-8800,ThermoTrack,PLANT_01,1773187800000,MCH-010,C,1772568367000,1772568427000,OK,1,0.117,149.6,19.02,true,GOOD,93,TT-4.9,COL-A
TT-8801,ThermoTrack,PLANT_01,1773187800000,MCH-005,A,1772342731000,1772343091000,OK,2,0.314,121.5,31.14,true,FAIR,64,TT-5.5,COL-C
TT-8802,ThermoTrack,PLANT_01,1773187800000,MCH-012,B,1772809501000,1772809561000,OK,2,0.165,156.4,49.8,true,GOOD,87,TT-5.4,COL-C
TT-8803,ThermoTrack,PLANT_01,1773187800000,MCH-004,B,1772764527000,1772764587000,OK,2,0.277,150.0,55.27,true,GOOD,82,TT-5.4,COL-B
TT-8804,ThermoTrack,PLANT_01,1773187800000,MCH-005,A,1772358584000,1772358884000,OK,2,0.114,141.4,26.58,false,GOOD,97,TT-5.4,COL-B
TT-8805,ThermoTrack,PLANT_01,1773187800000,MCH-010,C,1772406591000,1772406951000,OK,2,0.262,125.5,22.08,true,GOOD,84,TT-4.9,COL-B
TT-8806,ThermoTrack,PLANT_01,1773187800000,MCH-010,C,1772930164000,1772930344000,OK,1,0.185,118.0,14.84,true,FAIR,78,TT-5.4,COL-A
TT-8807,ThermoTrack,PLANT_01,1773187800000,MCH-008,B,1772413200000,1772434800000,OK,2,0.191,136.6,66.55,true,FAIR,70,TT-4.9,COL-C
TT-8808,ThermoTrack,PLANT_01,1773187800000,MCH-007,C,1773169443000,1773169683000,OK,2,0.188,145.5,15.41,true,GOOD,84,TT-5.5,COL-A
TT-8809,ThermoTrack,PLANT_01,1773187800000,MCH-002,A,1772947733000,1772948033000,OK,2,,136.5,44.07,true,FAIR,57,TT-5.4,COL-B
TT-8810,ThermoTrack,PLANT_01,1773187800000,MCH-004,B,1773043683000,1773045483000,OK,2,0.242,,58.27,false,GOOD,84,TT-4.9,COL-B
TT-8811,ThermoTrack,PLANT_01,1773187800000,MCH-005,A,1773052851000,1773053271000,OK,2,0.145,152.4,24.99,false,GOOD,96,TT-5.5,COL-B
TT-8812,ThermoTrack,PLANT_01,1773187800000,MCH-005,A,1772462867000,1772464667000,OK,2,0.185,142.7,30.43,true,GOOD,86,TT-5.4,COL-A
TT-8813,ThermoTrack,PLANT_01,1773187800000,MCH-001,A,1772787429000,1772787849000,OK,2,0.173,147.1,32.35,false,GOOD,87,TT-5.5,COL-A
TT-8814,ThermoTrack,PLANT_01,1773187800000,MCH-001,A,1772641005000,1772641725000,OK,2,0.212,139.8,33.62,false,GOOD,92,TT-4.9,COL-C
TT-8815,ThermoTrack,PLANT_01,1773187800000,MCH-005,A,1772442998000,1772444798000,OK,1,0.126,143.0,25.72,true,GOOD,88,TT-5.5,COL-C
