work_order_id,plant_id,machine_id,line_id,opened_at,closed_at,maintenance_type,trigger_source,status,downtime_minutes,parts_replaced,technician_confidence,post_maintenance_check,notes
WO-7000,PLANT_01,MCH-005,LINE-A,2026-03-09T17:30:44Z,2026-03-09T23:30:44Z,corrective,operator_report,closed,240,power_relay,medium,monitor,Potential false positive observed
WO-7001,PLANT_01,MCH-004,LINE-B,2026-03-09T12:12:11Z,,emergency,operator_report,open,30,none,low,pending,Follow-up required
WO-7002,PLANT_01,MCH-012,LINE-B,2026-03-08T17:33:35Z,2026-03-08T23:33:35Z,preventive,sensor_alert,closed,0,bearing,medium,not_done,Potential false positive observed
WO-7003,PLANT_01,MCH-002,LINE-A,2026-03-06T08:27:00Z,,corrective,sensor_alert,in_progress,0,temperature_sensor,medium,pending,Temperature spike investigation
WO-7004,PLANT_01,MCH-011,LINE-D,2026-03-09T01:29:02Z,2026-03-09T07:29:02Z,calibration,sensor_alert,closed,30,vibration_sensor,high,fail,Routine work order
WO-7005,PLANT_01,MCH-008,LINE-B,2026-03-02T11:19:03Z,2026-03-02T12:49:03Z,corrective,scheduled,closed,240,power_relay,low,fail,
WO-7006,PLANT_01,MCH-004,LINE-B,2026-03-03T03:46:06Z,2026-03-03T04:31:06Z,calibration,operator_report,closed,0,vibration_sensor,high,pass,Follow-up required
WO-7007,PLANT_01,MCH-010,LINE-C,2026-03-09T02:23:57Z,2026-03-09T03:53:57Z,emergency,operator_report,cancelled,0,none,high,pending,Routine work order
WO-7008,PLANT_01,MCH-001,LINE-A,2026-03-05T09:51:05Z,,emergency,sensor_alert,in_progress,10,temperature_sensor,high,pending,Follow-up required
WO-7009,PLANT_01,MCH-012,LINE-B,2026-03-05T00:15:45Z,2026-03-05T01:45:45Z,corrective,operator_report,closed,0,temperature_sensor,high,fail,Routine work order
WO-7010,PLANT_01,MCH-009,LINE-A,2026-03-08T18:38:54Z,2026-03-08T19:23:54Z,corrective,sensor_alert,closed,120,cooling_fan,low,fail,
WO-7011,PLANT_01,MCH-005,LINE-A,2026-03-02T01:11:01Z,2026-03-02T01:56:01Z,emergency,operator_report,closed,30,belt,high,fail,Potential false positive observed
WO-7012,PLANT_01,MCH-008,LINE-B,2026-03-07T04:12:44Z,2026-03-07T10:12:44Z,calibration,scheduled,closed,240,temperature_sensor,high,pass,Follow-up required
WO-7013,PLANT_01,MCH-006,LINE-C,2026-03-01T14:39:45Z,2026-03-01T15:24:45Z,preventive,sensor_alert,cancelled,0,temperature_sensor,high,pending,Post maintenance reading requested
WO-7014,PLANT_01,MCH-006,LINE-C,2026-03-03T21:40:13Z,2026-03-03T22:25:13Z,corrective,inspection,closed,30,temperature_sensor,low,monitor,Post maintenance reading requested
