outcome_id,machine_id,plant_id,line_id,outcome_start_at,outcome_end_at,outcome_type,downtime_minutes,defect_rate_pct,confirmed_root_cause,source_record,label_window_days
OUT-9000,MCH-009,PLANT_01,LINE-A,2026-03-16T15:50:00Z,2026-03-16T18:50:00Z,unplanned_downtime,180,5.7,unknown,MES,7
OUT-9001,MCH-008,PLANT_01,LINE-B,2026-03-11T04:56:00Z,2026-03-11T04:56:00Z,no_issue,0,0.22,none,manual_log,7
OUT-9002,MCH-004,PLANT_01,LINE-B,2026-03-13T23:38:00Z,2026-03-13T23:38:00Z,no_issue,0,0.44,none,MES,7
OUT-9003,MCH-012,PLANT_01,LINE-B,2026-03-10T06:40:00Z,2026-03-10T07:00:00Z,quality_defect_spike,20,6.51,thermal_variation,maintenance_system,7
OUT-9004,MCH-008,PLANT_01,LINE-B,2026-03-05T01:22:00Z,2026-03-05T01:22:00Z,no_issue,0,1.09,none,MES,7
OUT-9005,MCH-012,PLANT_01,LINE-B,2026-03-08T12:15:00Z,2026-03-08T12:15:00Z,no_issue,0,0.9,none,maintenance_system,7
OUT-9006,MCH-012,PLANT_01,LINE-B,2026-03-13T14:51:00Z,2026-03-13T15:01:00Z,quality_defect_spike,10,6.17,thermal_variation,manual_log,7
OUT-9007,MCH-004,PLANT_01,LINE-B,2026-03-09T14:47:00Z,2026-03-09T15:17:00Z,quality_defect_spike,30,8.75,vibration,manual_log,7
OUT-9008,MCH-006,PLANT_01,LINE-C,2026-03-11T04:46:00Z,2026-03-11T08:46:00Z,unplanned_downtime,240,2.83,unknown,manual_log,7
OUT-9009,MCH-005,PLANT_01,LINE-A,2026-03-12T07:23:00Z,2026-03-12T07:23:00Z,no_issue,0,0.78,none,maintenance_system,7
OUT-9010,MCH-008,PLANT_01,LINE-B,2026-03-08T20:35:00Z,2026-03-08T20:45:00Z,quality_defect_spike,10,6.36,unknown,MES,7
OUT-9011,MCH-002,PLANT_01,LINE-A,2026-03-05T01:53:00Z,2026-03-05T03:53:00Z,unplanned_downtime,120,1.43,unknown,manual_log,7
OUT-9012,MCH-004,PLANT_01,LINE-B,2026-03-12T03:09:00Z,2026-03-12T03:39:00Z,quality_defect_spike,30,4.01,thermal_variation,maintenance_system,7
OUT-9013,MCH-004,PLANT_01,LINE-B,2026-03-12T18:12:00Z,2026-03-12T20:12:00Z,unplanned_downtime,120,5.75,cooling_failure,maintenance_system,7
OUT-9014,MCH-001,PLANT_01,LINE-A,2026-03-15T17:30:00Z,2026-03-15T17:45:00Z,minor_stoppage,15,1.46,unknown,maintenance_system,7
OUT-9015,MCH-002,PLANT_01,LINE-A,2026-03-15T23:46:00Z,2026-03-15T23:46:00Z,no_issue,0,0.51,none,MES,7
OUT-9016,MCH-004,PLANT_01,LINE-B,2026-03-08T05:27:00Z,2026-03-08T05:42:00Z,minor_stoppage,15,0.91,power_variation,maintenance_system,7
OUT-9017,MCH-012,PLANT_01,LINE-B,2026-03-07T15:32:00Z,2026-03-07T17:32:00Z,unplanned_downtime,120,4.91,unknown,maintenance_system,7
OUT-9018,MCH-010,PLANT_01,LINE-C,2026-03-12T06:18:00Z,2026-03-12T06:18:00Z,no_issue,0,0.23,none,MES,7
OUT-9019,MCH-006,PLANT_01,LINE-C,2026-03-05T04:08:00Z,2026-03-05T04:23:00Z,minor_stoppage,15,1.82,unknown,maintenance_system,7
OUT-9020,MCH-005,PLANT_01,LINE-A,2026-03-03T07:36:00Z,2026-03-03T08:36:00Z,minor_stoppage,60,1.62,sensor_trip,manual_log,7
OUT-9021,MCH-004,PLANT_01,LINE-B,2026-03-10T22:42:00Z,2026-03-10T23:42:00Z,minor_stoppage,60,2.84,sensor_trip,manual_log,7
